app_id,name,img_icon,playtime(hrs),last_played
50130,Mafia II (Classic),62f1f7324e520be067aec1ab06d1ec6fa56f25bd,1.1,27305522.4,159
108710,Alan Wake,ec7953511aaaf5a2c2093b872b5b43c6cab56462,9.3,28347962.1,159
200210,Realm of the Mad God Exalt,76c62602486e58f9501e09e7e8f189e86823e8d5,0.2,27246426.6,159
202750,Alan Wake's American Nightmare,313aabf37ed0b521ad969d3fe21768d31300f1ca,0.0,0.0,159
204360,Castle Crashers,9b7625f9b70f103397fd0416fd92abb583db8659,1.6,28323667.3,159
207140,SpeedRunners,65cfa21149c415430fe36d83c23e079e6db476cc,12.8,28787173.6,159
209000,Batman™: Arkham Origins,76dac70a2206de1a80da4950da43e1b05ea302a8,11.1,28847374.4,159
218620,PAYDAY 2,a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414,0.0,0.0,159
219150,Hotline Miami,493c0a3e823c60c14f91204526f26cc064ed7c84,0.1,28178736.8,159
230410,Warframe,22064646470f4c53388ba87774c7ac10f0a91ffa,0.7,28044176.5,159
236110,Dungeon Defenders II,0ce07c2568f978a01c8ae5f4d9402c3253963641,0.5,27260364.5,159
238460,BattleBlock Theater,2f258aaff583d797812cdcf24830d5992f48733b,0.0,0.0,159
238960,Path of Exile,1110764aac57ac28d7ffd8c43071c75d5482a9c9,3.8,27947214.8,159
243470,Watch_Dogs,53368e59a196dfa9af66ecd32135939da97fa72e,0.4,29171510.7,159
247000,Talisman: Digital Classic Edition,0beedef83fb25cf564afd08b69fd636567933ce2,10.4,28693402.0,159
252490,Rust,820be4782639f9c4b64fa3ca7e6c26a95ae4fd1c,30.4,27063364.9,159
268910,Cuphead,c19f1bd916b6d171e94089d03112ec4e4e4da84e,0.0,29227083.6,159
286690,Metro 2033 Redux,353ea01a045c084215bca95519808eaa7319ce0c,0.0,0.0,159
291550,Brawlhalla,c43fac31b8bf8821764603a14d09412bc3d45f66,2.7,26479187.4,159
304390,For Honor,24ec1359d4c27b2aef9ad3fc59fdfa495789d6e6,20.0,28161854.0,159
335300,DARK SOULS™ II: Scholar of the First Sin,6e665503e93d1383b774a68dfea23ac7afc0e3aa,30.6,28162021.2,159
338170,Ratz Instagib 2.0,c04acf376ac615261d07a0afcfa641b5815e5030,0.9,28882316.9,159
359550,Tom Clancy's Rainbow Six® Siege X,624745d333ac54aedb1ee911013e2edb7722550e,18.9,28563315.8,159
360430,Mafia III: Definitive Edition,3df3ee0dfcb254bedbf15822c93a6983f67b0822,11.8,28877947.8,159
367520,Hollow Knight,f6ab055c2366237200b1a31cccbd6cf81e436d72,20.3,29324267.1,159
374320,DARK SOULS™ III,7abe1a33129c20cf10d2c74128bbd657a2a2c806,29.7,28665898.1,159
386360,SMITE,7ed9de7bbfab9accb81e47b84943e7478baf2f3a,4867.9,28877793.9,159
423230,Furi,85ba3f445459796811d4ea9596914e77dcc0a082,0.0,29227083.6,159
431960,Wallpaper Engine,72edaed9d748c6cf7397ffb1c83f0b837b9ebd9d,1.6,28760987.1,159
460950,Katana ZERO,874ee87e03abd66ff158727c051ceb173e3cba3c,0.5,28171922.3,159
526870,Satisfactory,ee3406fe5ec813b1987ad67e37e5cd6fb4f620e6,10.2,27354106.3,159
544550,Stationeers,2111b7ad54c3d3ed9b4b1afed7d99336270c13e3,0.2,27624947.4,159
552500,Warhammer: Vermintide 2,a671f2ddf7359beba9702ac097baf6d50cb07202,11.1,28086042.5,159
553850,HELLDIVERS™ 2,c3dff088e090f81d6e3d88eabbb67732647c69cf,5.6,28477739.2,159
570940,DARK SOULS™: REMASTERED,d74cfa4f3a2070f45ad8ce44e5f61a6507ee00b6,32.0,28149334.7,159
582500,We Were Here,3b5dc17a063e558ef755b7bb6e7a3feeb771972f,1.0,27524413.3,159
582660,Black Desert,bf5ccace0a692720984827bf042143d0d4b28a42,0.0,0.0,159
601150,Devil May Cry 5,7ec2f6fb9069c3ae03af7e83610862090cd757bb,0.6,29190281.9,159
623990,Tom Clancy's Rainbow Six Siege - Test Server,20deaf466474f76f2ffdb345fe56f40fe3af74c0,0.0,0.0,159
632360,Risk of Rain 2,0b809ac6f25e6570fecae5fc47bca0139a7bf70c,48.1,28898143.6,159
648800,Raft,6a9ae357c4133b1b631b520edd25b1974f3afb68,17.0,27623265.6,159
654310,For Honor - Public Test,64dd8eca34f0b5faeda135f057da1973806852f2,0.0,0.0,159
671860,BattleBit Remastered,84d4db032ad4d637b97e9a25f7d3da70b6fd6257,1.3,28121910.2,159
674020,World War 3,05d773677429db6b58a68ef6ea84d19029fb5eb2,3.4,27452454.2,159
677160,We Were Here Too,8ab91765d80cb7faf7c257dff6bab4fd95c968c7,1.8,27528737.1,159
688420,Bad North: Jotunn Edition,038a9c080d91b1963b51498541a718f844a0f162,0.8,28230826.7,159
700580,Rust - Staging Branch,820be4782639f9c4b64fa3ca7e6c26a95ae4fd1c,0.0,0.0,159
739630,Phasmophobia,125673b382059f666ec81477173380a76e1df0be,15.2,27060859.1,159
774361,Blasphemous,4adaff16db14b2cf3bcfda2c523f0d4d68e15d6f,2.9,28471775.5,159
792220,Paunch,34125b8aa5e15fe10a63a597bd4f00e6268cbc04,0.2,27565628.1,159
799960,Wizard101,6013a186e1a48b169b26e51632f23a110113deda,11.3,27593002.3,159
814380,Sekiro™: Shadows Die Twice,2704fb9c5465045d00a5b19a0cb1e9bdabbd15cc,2.1,28727485.6,159
858460,SMITE - Public Test,20e160ebdeddbb45f1066f62797cee2dff94da95,90.6,27906212.7,159
858820,Tribes of Midgard,63d7c6cdcd096c8617557682830df3079956556d,0.6,27865352.0,159
865360,We Were Here Together,48102be9c6ee895f77d2af44ac83a1e6150cd458,4.0,27533147.2,159
872200,Rogue Company,ec36ff029402b9cf4e1f7829f293fd12a71e6ce1,0.9,27599200.6,159
880940,Pummel Party,0e2e222010d009ca46b575cc5c53a23250434341,4.7,27194889.9,159
881020,Granblue Fantasy: Relink,1b9bcf2c07e1c760349fd4ecbc3b8690ef915e11,8.6,28508754.8,159
892970,Valheim,2f64c9a826e2c6cf3253fea4834c2e612db09143,58.6,27897003.4,159
894020,Death's Door,d48d2167c15e8d2af57cfbc31228b90e36f4508c,1.3,28179357.7,159
960090,Bloons TD 6,c5f0b67c8beeb6be99abe2ad8db2cada5d5ccff0,0.0,0.0,159
1030300,Hollow Knight: Silksong,b4a999c1302e3ac123c041fd41bb8a34528c6ab5,0.0,0.0,159
1030830,Mafia II: Definitive Edition,f80e173ad5c242ca0d41e30af1f6358d1e64d9b4,9.8,27343940.6,159
1030840,Mafia: Definitive Edition,883ceebf7d8ebce37c9244a62777ef4a800393ce,9.7,27302678.3,159
1057240,Crucible,cb810ddc0fcf160fc198612a957855faab8af988,1.1,26500474.4,159
1062520,Dinkum,0201c9b277e291d2fe3d2a5e6d3dda0ee38d9e4e,12.8,27652347.2,159
1084600,My Time at Sandrock,eb9042f448e5e3572df7e4447b0e644f5aef88ed,2.4,27604448.1,159
1085510,Garfield Kart - Furious Racing,dbb7640f3d7b8027eadf708d899031390b1fe694,2.0,28035316.4,159
1085660,Destiny 2,fce050d63f0a2f8eb51b603c7f30bfca2a301549,70.8,28714991.2,159
1091500,Cyberpunk 2077,42b9b33fa0f0d997beb299c6157592a8fe7d8f68,101.2,28388582.0,159
1092790,Inscryption,25c02dcbabe97febe787797195099325a4d47935,0.0,0.0,159
1123770,Curse of the Dead Gods,74439a263f77dc8e5d6dff12da3458b46ce2726b,0.4,28209074.4,159
1127400,Mindustry,1abc85522939efd31f3439302e64f673ba2424a5,0.1,28828967.4,159
1127500,Mini Motorways,0e2a65693654834ccf5f3e8984e29d18ae1fa6b7,1.2,28130451.7,159
1144200,Ready or Not,9312af21d070f126acbd2237c461b0d06d9b3e20,1.0,29192960.5,159
1172470,Apex Legends,6cc35932af780289ae3d8d5cdbfe9cd545decad2,81.5,27846810.6,159
1173370,Slapshot: Rebound,674676fb4ba48e60020869d8f5fcef1e3c1a3014,1.3,27256630.6,159
1203620,Enshrouded,9588cc0bd32e350a2353c332be67cf52a9b2b47b,1.7,28861963.5,159
1222700,A Way Out,ac36b7d06c117d34c204166c3120e15910ef2b8b,5.7,28113310.5,159
1237950,STAR WARS™ Battlefront™ II,dbdd20f60579c3695427801a7b8d9844cf3e428b,0.0,0.0,159
1241100,POLYGON,8e587587672d2978bfcc5cf872ee1ce51b478799,1.7,27450920.6,159
1274570,DEVOUR,e24aa080068d3686e0b1b5aa52a4155dc553e69d,1.0,27190308.4,159
1282100,Remnant II,7223e40d6e1d9a25db48cce857d1b83c5f2c5704,22.4,28202555.8,159
1283700,SUPERVIVE,ae2fdcb6c6a904c8190895247b1a52a710b8ad18,9.3,28882177.4,159
1294660,Divine Knockout (DKO),2f2112d19f357a6bdaccafbdda5bd3ad82bb0d9f,0.0,0.0,159
1301720,Escape Room - The Sick Colleague,ae597ce21855d7d2e9d79a1522c130b9f1738559,0.9,27315639.4,159
1302240,Labyrinthine,b507946b4217b31ba7a6cc7bcc61b085b437b5c2,5.7,27271147.6,159
1304930,The Outlast Trials,159a7d66ffd179c920eefe07392e6a261e899965,2.8,28081616.7,159
1318690,shapez,974fc8a55e4191dfb390f59a24cb2f1900393533,1.1,27790758.9,159
1328670,Mass Effect™ Legendary Edition,443ed7dba43882ef4298f8ed15bf67f323461e14,0.0,0.0,159
1341290,We Were Here Forever,a62e86221fc8e49864d779833460dcf9114fd433,9.0,27543255.9,159
1352080,SMASH LEGENDS,eb80dc667e7f56afb85e5250fa5d12ad16f1c0a4,3.3,27535755.9,159
1359090,Zero Hour,435172a2df3695389d00ea2c78d820c9e748f01e,0.0,0.0,159
1422450,Deadlock,f6da1420a173324d49bcd470fa3eee781ad0fa5e,0.9,28789860.0,159
